Maceoo Consolidated
Maceoo Parent : Maceoo Paris LLC
Physical Inventory Worksheet
As of August 6, 2026

Item,Description,Pref. Vendor,On Hand,Physical Count
10000007106,,,,
100000071063,Women's Shoes : Suit Up - Various One Size,Rabfit,2,
Total - 100000071063,,,2,
10000007200,,,,
100000072005,Women's Top : Basic Tee - Size 5,Acme,3,
Total - 100000072005,,,3,
100000072006,Women's Top : Basic Tee - Size 6,Acme,-1,
Total - 100000072006,,,-1,
100000072007,Women's Top : Basic Tee - Size 7,Acme,2,
Total - 100000072007,,,2,
10000007300,,,,
100000073001,Women's Dress : Wrap - Size 1,Rabfit,0,
Total - 100000073001,,,0,
10000007400,,,,
100000074005,Women's Shoe Flat Pin White 5 / White,Rabfit,0,
Total - 100000074005,,,0,
100000074006,Women's Shoe Flat Pin White 6 / White,Rabfit,0,
Total - 100000074006,,,0,
100000074008,Women's Shoe Flat Pin White 8 / White,Rabfit,0,
Total - 100000074008,,,0,
100000074009,Women's Shoe Flat Pin White 9 / White,Rabfit,0,
Total - 100000074009,,,0,
1000000740010,Women's Shoe Flat Pin White 10 / White,Rabfit,0,
Total - 1000000740010,,,0,
